model,seed,space_time_l1,space_time_l2,space_time_rel_l2,final_l1,final_l2,final_rel_l2,shock_pos_mae,shock_pos_maxe,shock_pos_final_error,shock_pos_final_pred,shock_pos_final_exact,shock_speed_pred,shock_speed_exact,shock_speed_error,width_95_05_mean,width_95_05_final,width_90_10_mean,width_90_10_final,overshoot,undershoot,min_pred,max_pred,tv_mean,tv_excess_mean,dx_eval,global_cons_mean_abs,global_cons_max_abs,global_cons_final_abs,global_cons_mean_rel,mass_error_mean_abs,mass_error_final_abs,local_cons_cv_mean_abs,local_cons_cv_median_abs,local_cons_cv_max_abs,local_cons_cv_mean_rel,local_cons_cv_max_rel,gate_progress,gate_h,gate_cmin,gate_mean,gate_max,gate_active_frac_gt_0p5,gate_active_frac_gt_0p1,gate_C_mean,gate_C_max,gate_Jhat_mean,gate_Jhat_max,gate_Jbar,gate_precision_band_2h,gate_recall_band_2h,xshock_tmax_exact,method,warmup_iters,continuation_iters,adam_total_iters,timestamp,equation,optimizer_main,lbfgs_used,wall_clock_sec_warmup,wall_clock_sec_continuation,wall_clock_sec_total,num_parameters,reference_is_exact,reference_evaluation_mode,reference_eval_nx,reference_type,reference_eval_nt,reference_eval_nxy,reference_metadata_updated_at,reference_name,primary_metric,reference_t_final
PINN,2026,0.0465399409142738,0.0920257106096007,0.1164159526716925,0.0296233827173709,0.0746985744715532,0.0862544841583655,0.0039679061536532,0.0079096719267029,0.0078904527169715,0.4921095472830284,0.5,0.4924485900904714,0.5,0.0075514099095285,0.392440191616451,0.2877111604924752,0.2817785354548447,0.1782897113940376,0.0042865276336669,0.0108936429023742,-0.0108936429023742,1.004286527633667,1.0062532424926758,0.0077668079175055,0.0020020020020019,0.0083087199141991,0.0126451840723033,0.0122107212326757,0.0199559436509995,0.0081827862621562,0.0119153859916032,0.0109463984111388,0.0056830406406469,0.0636650277654827,0.0472099409814446,0.7061081292570123,1.0,0.04,0.65,0.0351583026349544,0.9984865188598632,0.0376531497343597,0.0431421446384039,0.4837508499622345,2.0,0.9999999403953552,21.72324752807617,0.0433373525738716,1.0,0.4334435846230654,0.5,PINN,1000,9000,10000,2026-07-01 00:44:26,1d_burgers,AdamW,False,30.528695821762085,211.19162106513977,241.72031688690183,83073,True,pointwise_analytic,1000.0,analytical_burgers_entropy_solution,401.0,,2026-07-21 00:37:38,Analytical entropy solution of the inviscid Burgers Riemann problem,space_time_rel_l2,1.0
Ours,2026,0.0120748119269151,0.0428404517236398,0.0541947676063136,0.0142041602730751,0.0563501297000496,0.0650675251023128,0.0039170444682949,0.0086401751097365,0.0086401751097365,0.4913598248902634,0.5,0.4922531624921265,0.5,0.0077468375078735,0.0534283672855452,0.0540002228271082,0.0372595177459397,0.038028675422003,0.0028297901153564,0.0003951489925384,-0.0003951489925384,1.0028297901153564,0.998537003993988,0.0010072254808619,0.0020020020020019,0.0065471251757293,0.0114426169096976,0.0114426169096976,0.0156411805594057,0.0066664010782021,0.01294341271704,0.0043525377139516,0.0028201796231319,0.0190608351490036,0.0484169346430934,0.764991784812388,1.0,0.04,0.65,0.0398753210902214,0.99921715259552,0.0408218583974845,0.0429225848422422,0.4788868427276611,2.0,1.0000001192092896,23.17438697814941,0.043211705982685,1.0,0.4699201198202696,0.5,Ours,1000,9000,10000,2026-07-01 00:50:30,1d_burgers,AdamW,False,30.528695821762085,363.1318621635437,393.6605579853058,83073,True,pointwise_analytic,1000.0,analytical_burgers_entropy_solution,401.0,,2026-07-21 00:37:38,Analytical entropy solution of the inviscid Burgers Riemann problem,space_time_rel_l2,1.0
PINN,7,0.044254324205647,0.0891547414993173,0.1127840697788505,0.0282763400077819,0.0657459090377551,0.0759168365620414,0.0004976108728077,0.000988489473015,3.972511750938157e-05,0.5000397251175094,0.5,0.4996866859118398,0.5,0.0003133140881602,0.3919176254631425,0.2830815507847916,0.2800436442505654,0.166898071223811,0.0096409320831298,0.0166548490524292,-0.0166548490524292,1.00964093208313,1.0165126323699951,0.0166996326297521,0.0020020020020019,0.0008014951965092,0.0022047152779659,0.0022047152779659,0.0019732921920598,0.000959534038665,0.0031074025967459,0.0096881256726621,0.0045927515642762,0.0535141889088759,0.0342459740784876,0.3665992767754238,1.0,0.04,0.65,0.0358849912881851,0.998416304588318,0.0382088257616827,0.0431231703350319,0.4928381741046905,2.0,1.0,21.55790138244629,0.0436216741800308,1.0,0.4398402396405392,0.5,PINN,1000,9000,10000,2026-07-01 01:25:37,1d_burgers,AdamW,False,30.988587141036987,271.1563012599945,302.1448884010315,83073,True,pointwise_analytic,1000.0,analytical_burgers_entropy_solution,401.0,,2026-07-21 00:37:38,Analytical entropy solution of the inviscid Burgers Riemann problem,space_time_rel_l2,1.0
Ours,7,0.0108805432188837,0.0384218527536949,0.0486050752784542,0.0119668245613574,0.0402889630240829,0.0465216872945965,0.0022407511500255,0.0038696886710593,0.0037853163306775,0.5037853163306776,0.5,0.5046502887899285,0.5,0.0046502887899284,0.0522766268516958,0.0528501511720994,0.0364204524101029,0.036858810264736,0.0027154684066772,0.0018273591995239,-0.0018273591995239,1.0027154684066772,1.001362442970276,0.0020414246246218,0.0020020020020019,0.0014654052122973,0.0022809211518969,0.0018888932592547,0.0032557074325924,0.0018527779860159,0.0016758967865935,0.0036111894241322,0.0020865342603975,0.0169536259314185,0.0325771296333602,0.490605017288188,1.0,0.04,0.65,0.0400046594440937,0.9992088675498962,0.040919440529112,0.0429740865228233,0.4799728691577911,2.0,1.0,23.13566017150879,0.0433039963245391,1.0,0.4710434348477284,0.5,Ours,1000,9000,10000,2026-07-01 01:31:18,1d_burgers,AdamW,False,30.988587141036987,339.7241952419281,370.7127823829651,83073,True,pointwise_analytic,1000.0,analytical_burgers_entropy_solution,401.0,,2026-07-21 00:37:38,Analytical entropy solution of the inviscid Burgers Riemann problem,space_time_rel_l2,1.0
PINN,42,0.0456806018023642,0.090483727877673,0.1144652870636626,0.0272119754850864,0.0681557973485083,0.0786995358918989,0.0026630337117222,0.0038573489360516,0.0026812360288873,0.4973187639711126,0.5,0.4975658034250678,0.5,0.0024341965749322,0.3956239254292882,0.2939597320875797,0.2833403790015709,0.1768883539523223,0.0010478496551513,0.0125664174556732,-0.0125664174556732,1.0010478496551514,1.008112549781799,0.0095455246046185,0.0020020020020019,0.0048059258557404,0.0062684130670876,0.005878482376178,0.0133407859704773,0.0058471937590121,0.0074092984139859,0.0086404993911936,0.0032529045111596,0.0636173840168753,0.0442041539916589,0.6416347123723372,1.0,0.04,0.65,0.0358953364193439,0.9985111355781556,0.0377588637102894,0.0431041960316599,0.491167813539505,2.0,1.0,21.80820655822754,0.0433743968605995,1.0,0.4346605092361458,0.5,PINN,1000,9000,10000,2026-07-01 01:36:19,1d_burgers,AdamW,False,29.59357643127441,270.01633167266846,299.60990810394287,83073,True,pointwise_analytic,1000.0,analytical_burgers_entropy_solution,401.0,,2026-07-21 00:37:38,Analytical entropy solution of the inviscid Burgers Riemann problem,space_time_rel_l2,1.0
Ours,42,0.0124755422995795,0.0364593309994586,0.0461224121385022,0.0127153447270393,0.0362740856401517,0.0418857062178499,0.0004774997368538,0.0008195456102332,0.0001875223446118,0.5001875223446118,0.5,0.5012867132016898,0.5,0.0012867132016898,0.0531779899453746,0.0529175677607275,0.0371592131550658,0.0372136849779653,0.0072413682937622,0.0011898875236511,-0.0011898875236511,1.0072413682937622,0.9991936087608336,0.0013739779824391,0.0020020020020019,0.0003944898607519,0.0008141423957989,0.0001055123977684,0.0017847670102786,0.0011612547812974,0.0020817663516843,0.002796531254351,0.0014923731513687,0.0144950293568687,0.0473778064406185,0.7724790740414713,1.0,0.04,0.65,0.039965771138668,0.9992126226425172,0.0408923343814377,0.0429713759080559,0.4812370836734772,2.0,0.9999999403953552,23.25761604309082,0.0431701093912124,1.0,0.4707314028956565,0.5,Ours,1000,9000,10000,2026-07-01 01:41:38,1d_burgers,AdamW,False,29.59357643127441,317.9639346599579,347.5575110912323,83073,True,pointwise_analytic,1000.0,analytical_burgers_entropy_solution,401.0,,2026-07-21 00:37:38,Analytical entropy solution of the inviscid Burgers Riemann problem,space_time_rel_l2,1.0
PINN,100,0.044565739525561,0.0887165490715649,0.1122297400313005,0.0259945198595523,0.0649840709497284,0.0750371417116402,0.0009721887433502,0.0014822662790247,0.0014821456732923,0.4985178543267076,0.5,0.4992694718394128,0.5,0.0007305281605872,0.3823120062124602,0.2767928587793993,0.2744014714418516,0.1634065367543207,0.0018508434295654,0.0129769146442413,-0.0129769146442413,1.0018508434295654,1.0077662467956543,0.0090337907895445,0.0020020020020019,0.0040861340541293,0.0059904476059031,0.0050807230622021,0.0088282596467219,0.0058897127426811,0.0074148958808066,0.0146314764094222,0.0080815702400817,0.0629215726880436,0.0606389795346873,0.6275192302096578,1.0,0.04,0.65,0.0359729528427124,0.9986709356307985,0.0378157866204055,0.0431096172611948,0.4926533102989197,2.0,1.0000001192092896,21.99641990661621,0.0433755815029144,1.0,0.4353157763354967,0.5,PINN,1000,9000,10000,2026-07-01 01:46:12,1d_burgers,AdamW,False,29.15829300880432,243.9082677364349,273.06656074523926,83073,True,pointwise_analytic,1000.0,analytical_burgers_entropy_solution,401.0,,2026-07-21 00:37:38,Analytical entropy solution of the inviscid Burgers Riemann problem,space_time_rel_l2,1.0
Ours,100,0.0116803631217699,0.0383486410953234,0.0485124598028492,0.013258056461811,0.0405579843450454,0.0468323263587471,0.001973959116028,0.0027313235892609,0.0027313235892609,0.4972686764107391,0.5,0.4988866033984734,0.5,0.0011133966015265,0.0536936309993438,0.0545556181791225,0.0376624805821975,0.037867518098802,0.0013703107833862,0.0008601546287536,-0.0008601546287536,1.0013703107833862,0.9988825917243958,0.000772834115196,0.0020020020020019,0.0027074269605354,0.0034502844502765,0.0034502844502765,0.0075243056101713,0.0031736302042774,0.0050002700752678,0.0049342004842924,0.0027597893750074,0.0189923539814219,0.0836036767974619,0.9991924485220994,1.0,0.04,0.65,0.0398620665073394,0.999168872833252,0.0407839097907405,0.042928006071777,0.479584664106369,2.0,1.0000001192092896,23.143796920776367,0.0432384610176086,1.0,0.4694832750873689,0.5,Ours,1000,9000,10000,2026-07-01 01:51:50,1d_burgers,AdamW,False,29.15829300880432,336.385244846344,365.5435378551483,83073,True,pointwise_analytic,1000.0,analytical_burgers_entropy_solution,401.0,,2026-07-21 00:37:38,Analytical entropy solution of the inviscid Burgers Riemann problem,space_time_rel_l2,1.0
PINN,31415,0.0441994585881283,0.090220976648763,0.1141328969693444,0.0275907412171363,0.0723610826674335,0.0835553811136946,0.0043483690790815,0.0075411399090711,0.0075411399090711,0.4924588600909288,0.5,0.4929202490477901,0.5,0.0070797509522098,0.3732547369676225,0.2729020934255779,0.272422087415913,0.1702449816176102,0.0035696029663085,0.016835331916809,-0.016835331916809,1.0035696029663086,1.0129971504211426,0.0132551807910203,0.0020020020020019,0.0108733396008947,0.0158152217979544,0.0158152217979544,0.027746442386798,0.0112650651964097,0.0161431840769161,0.0108780766410336,0.004137011511301,0.0748999071980067,0.0375212181902755,0.3808485513000137,1.0,0.04,0.65,0.0360136106610298,0.9985353946685792,0.037794101702266,0.0431231703350319,0.4841066896915436,2.0,1.0000001192092896,21.909448623657227,0.0435560010373592,1.0,0.4350661507738392,0.5,PINN,1000,9000,10000,2026-07-01 01:56:52,1d_burgers,AdamW,False,30.017823457717896,271.6290726661682,301.6468961238861,83073,True,pointwise_analytic,1000.0,analytical_burgers_entropy_solution,401.0,,2026-07-21 00:37:38,Analytical entropy solution of the inviscid Burgers Riemann problem,space_time_rel_l2,1.0
Ours,31415,0.0114198113518611,0.0406277361671167,0.0513955999845942,0.0123404738306999,0.049024346171137,0.0566084389174373,0.0032893663630793,0.0061587229372817,0.0061325543525667,0.4938674456474333,0.5,0.4965986822348796,0.5,0.0034013177651203,0.0527519354654837,0.0547277021048757,0.0367506611148182,0.0391084577397015,0.00203537940979,0.0026492178440093,-0.0026492178440093,1.00203537940979,1.0020596981048584,0.0021034197416156,0.0020020020020019,0.0038058252150814,0.005409504832836,0.005409504832836,0.0103730115720975,0.0040453774836755,0.0058843809085802,0.0036918452126708,0.0016808308689732,0.0207626558002311,0.0349634773400113,0.6817872691239744,1.0,0.04,0.65,0.0398714132606983,0.9992027878761292,0.0407649354873685,0.042928006071777,0.4812645316123962,2.0,1.0000001192092896,23.149377822875977,0.0433055385947227,1.0,0.4692648527209186,0.5,Ours,1000,9000,10000,2026-07-01 02:02:59,1d_burgers,AdamW,False,30.017823457717896,365.1591114997864,395.1769349575043,83073,True,pointwise_analytic,1000.0,analytical_burgers_entropy_solution,401.0,,2026-07-21 00:37:38,Analytical entropy solution of the inviscid Burgers Riemann problem,space_time_rel_l2,1.0
