model,seed,rho_space_time_l1,rho_space_time_l2,rho_space_time_rel_l2,rho_final_l1,rho_final_l2,rho_final_rel_l2,rho_min,rho_max,u_space_time_l1,u_space_time_l2,u_space_time_rel_l2,u_final_l1,u_final_l2,u_final_rel_l2,u_min,u_max,p_space_time_l1,p_space_time_l2,p_space_time_rel_l2,p_final_l1,p_final_l2,p_final_rel_l2,p_min,p_max,primitive_scaled_space_time_rel_l2,primitive_scaled_final_rel_l2,rho_positivity_violation,p_positivity_violation,rho_tv_final,rho_tv_excess_final,u_tv_final,u_tv_excess_final,p_tv_final,p_tv_excess_final,global_mass_cons_mean_abs,global_mass_cons_final_abs,global_mass_cons_mean_rel,global_mom_cons_mean_abs,global_mom_cons_final_abs,global_mom_cons_mean_rel,global_energy_cons_mean_abs,global_energy_cons_final_abs,global_energy_cons_mean_rel,local_mass_cons_cv_mean_abs,local_mass_cons_cv_median_abs,local_mass_cons_cv_max_abs,local_mass_cons_cv_mean_rel,local_mom_cons_cv_mean_abs,local_mom_cons_cv_median_abs,local_mom_cons_cv_max_abs,local_mom_cons_cv_mean_rel,local_energy_cons_cv_mean_abs,local_energy_cons_cv_median_abs,local_energy_cons_cv_max_abs,local_energy_cons_cv_mean_rel,gate_progress,gate_h,gate_cmin,gate_mean,gate_max,gate_active_frac_gt_0p5,gate_active_frac_gt_0p1,gate_C_mean,gate_C_max,gate_Jhat_mean,gate_Jhat_max,gate_Jbar,warmup_iters,continuation_iters,adam_total_iters,timestamp,equation,optimizer_main,lbfgs_used,wall_clock_sec_warmup,wall_clock_sec_continuation,wall_clock_sec_total,num_parameters,reference_type,reference_is_exact,reference_name,reference_evaluation_mode,reference_eval_nx,reference_eval_nt,reference_t_final,primary_metric,reference_metadata_updated_at,reference_eval_nxy
PINN,2026,0.0084135191548316,0.0192635578883939,0.0282369489417939,0.0126334300703362,0.0226637607404901,0.0348438165144953,0.0967839509248733,1.0610045194625854,0.0385774815517987,0.1177743047521792,0.2713357672299569,0.0448212613562127,0.1365554670857936,0.222442992355801,-0.0641665756702423,0.9724170565605164,0.0090404138100971,0.0216512481357086,0.0324413008107457,0.0114193051902268,0.0263489131276822,0.0424186269358659,0.0995585098862648,1.009426236152649,0.1013941292909825,0.1160821516653163,0.0,0.0,1.0900626182556152,0.2150626182556152,1.983900785446167,0.1289955453482671,0.9483375549316406,0.0483375549316406,0.0006073305558384,0.0004693337070361,0.999999998060338,0.0031465706715557,0.0044228620468892,0.0237906990622001,0.0023889711532639,0.0042358024163693,0.77381841666405,0.0002355269034778,0.0001183669147632,0.0009429398950448,0.0013437088989267,0.0007285731792706,0.0003662640611762,0.0036836703644957,0.0177588357547108,0.0010152647440868,0.0006599532348848,0.0046441884564918,0.0026531898874377,1.0,0.0182574185835055,0.7,0.0664472877979278,0.9999761581420898,0.0630819080431483,0.092259341290349,0.5104009509086609,2.0,1.0,15.248982429504396,0.089577592909336,4000,6000,10000,2026-07-01 00:59:51,1d_euler,AdamW,False,203.55366253852844,312.03567337989807,515.5893359184265,83331,analytical_sod_riemann_solution,True,Analytical Sod Riemann solution,pointwise_analytic,700,301,0.2,primitive_scaled_space_time_rel_l2,2026-07-21 00:37:38,
Ours,2026,0.0032742401402111,0.0090425446759067,0.0132547618563912,0.0043787165105364,0.0099076063591564,0.0152321947813162,0.116359606385231,1.010722279548645,0.0087351801073894,0.0400934603776209,0.0923698072797527,0.0110701688803641,0.0452256542596781,0.0736706488540016,-0.0110948085784912,0.9411542415618896,0.0030124235350079,0.0084657374842468,0.0126846976483681,0.0032667611878832,0.0086767072248307,0.0139684701611145,0.0998097211122512,1.0009657144546509,0.0352860658916525,0.0389360396091782,0.0,0.0,1.0000064373016355,0.1250064373016357,1.9340003728866575,0.0790951327887579,0.9335068464279176,0.0335068464279174,0.0004615308106854,0.0012745356827419,0.8888847736558372,0.0006585278123977,0.0013660951541571,0.0053304443632772,0.0015427633977825,3.6792448729568e-05,0.9518506924872004,0.0002750056387688,0.0002090185512455,0.000880205187794,0.0013460546412321,0.000578480143601,0.0004605555844091,0.0023416888568249,0.0347860253706741,0.0008216278616109,0.0006879528279044,0.0024861816773838,0.0020627744901468,1.0,0.0182574185835055,0.7,0.0710706412792205,0.9997894167900084,0.0649686231081579,0.0903367376235593,0.4974417090415954,2.0,0.9999999403953552,14.812530517578123,0.0855672806501388,4000,6000,10000,2026-07-01 01:06:48,1d_euler,AdamW,False,203.55366253852844,416.67925214767456,620.232914686203,83331,analytical_sod_riemann_solution,True,Analytical Sod Riemann solution,pointwise_analytic,700,301,0.2,primitive_scaled_space_time_rel_l2,2026-07-21 00:37:38,
PINN,7,0.0086745436442911,0.0195366982839333,0.0286373241708907,0.0128578284940132,0.0230457400941388,0.0354310808552752,0.0952156037092208,1.0679672956466677,0.0402974324111241,0.1192024988248931,0.274626129548703,0.0456857981401576,0.1355862440908658,0.2208641697143293,-0.0731326937675476,0.9775445461273192,0.0092575185989442,0.0219050096074439,0.0328215261070955,0.0114889308779677,0.026204767027872,0.0421865688011536,0.0991550609469413,1.0091713666915894,0.1026290858780379,0.1153667144934671,0.0,0.0,1.1181963682174685,0.2431963682174682,1.9941308498382568,0.139225609740357,0.9579667448997498,0.0579667448997497,0.000360813221642,0.0001296553766726,0.5403240804368101,0.0034636949256094,0.0047101864342887,0.0259957909979045,0.0026147469823396,0.0047894989336355,0.9999999991677748,0.0004045486017534,0.0003429860840466,0.0011418089325715,0.0017107562335058,0.0005944520695208,0.0002901784524244,0.0027558747409774,0.0127540233655192,0.0009798017746796,0.0007849392049435,0.0054935621480904,0.0018809274774677,1.0,0.0182574185835055,0.7,0.0660111755132675,0.999980092048645,0.0628204339444649,0.091920963044994,0.5117296576499939,2.0,0.9999999403953552,15.217867851257324,0.0899678915739059,4000,6000,10000,2026-07-01 01:29:13,1d_euler,AdamW,False,204.1149113178253,306.4528751373291,510.5677864551544,83331,analytical_sod_riemann_solution,True,Analytical Sod Riemann solution,pointwise_analytic,700,301,0.2,primitive_scaled_space_time_rel_l2,2026-07-21 00:37:38,
Ours,7,0.0039488218350216,0.0103838100854272,0.0152208183401128,0.0049583457093579,0.0110788208286677,0.0170328483684265,0.1220044568181037,1.01115882396698,0.0107753094261764,0.050445458730415,0.1162193848368357,0.012400366344645,0.0510572533133164,0.0831700733105529,-0.011633962392807,0.9489732384681702,0.0034463951414673,0.0103488480531998,0.0155062696909768,0.0037249547927955,0.0096707567172348,0.0155687720168209,0.0997076407074928,1.0023003816604614,0.0440943913938086,0.0439059994874892,0.0,0.0,1.022933006286621,0.1479330062866211,1.9507431983947756,0.0958379582968755,0.9394681453704834,0.0394681453704833,0.0002537867488909,0.0006371588734527,0.605432523560839,0.0006771788086834,0.001177238630679,0.0047629069482812,0.0013597718588775,0.0007928048346273,0.6753016252261438,0.0003035525504319,0.0002237640731536,0.0007705499882645,0.001079316994418,0.0003987692900447,0.0001974026878631,0.0016674037647446,0.0345673900148798,0.0010604106389112,0.0006014049560676,0.0037417428680319,0.0017039366280188,1.0,0.0182574185835055,0.7,0.0698487758636474,0.9998317956924438,0.0640919158361018,0.0900034863213157,0.5137538909912109,2.0,1.000000238418579,14.74439525604248,0.0862932801246643,4000,6000,10000,2026-07-01 01:35:49,1d_euler,AdamW,False,204.1149113178253,395.1587827205658,599.2736940383911,83331,analytical_sod_riemann_solution,True,Analytical Sod Riemann solution,pointwise_analytic,700,301,0.2,primitive_scaled_space_time_rel_l2,2026-07-21 00:37:38,
PINN,42,0.0084525555947648,0.0189615222954928,0.0277942184937237,0.0123066439984839,0.0219958505835124,0.0338169552082725,0.0942467153072357,1.0640045404434204,0.0385709072391267,0.1156416119360075,0.2664223368959003,0.0428951144664059,0.1307117883237016,0.2129238905728669,-0.0538210868835449,0.9698099493980408,0.0088485837819923,0.0212375337524269,0.0318214089378316,0.0112104148479663,0.0253656800921633,0.0408357382936442,0.0993177443742752,1.0076388120651243,0.0995621489579244,0.1112000999265077,0.0,0.0,1.099187254905701,0.2241872549057006,1.9835323095321653,0.1286270694342657,0.9463542699813844,0.0463542699813842,0.0004116440148911,9.949792908993838e-05,0.5404873763561511,0.0024801752196245,0.0030218132109774,0.0194742166825723,0.0016576656693228,0.003265104995732,0.988572613631634,0.0003088323337032,0.0002355829633023,0.0019827499933653,0.0014780031673774,0.0005472999999834,0.0003398912225334,0.003201770984151,0.0168946431060361,0.000967660609113,0.0006385453068463,0.0056935249081342,0.0017891167634031,1.0,0.0182574185835055,0.7,0.0665981993079185,0.9999741315841676,0.0633280013124974,0.0925310692752553,0.5094660520553589,2.0,1.0,15.273364067077637,0.0895244404673576,4000,6000,10000,2026-07-01 01:43:56,1d_euler,AdamW,False,202.79025197029117,283.0654344558716,485.8556864261627,83331,analytical_sod_riemann_solution,True,Analytical Sod Riemann solution,pointwise_analytic,700,301,0.2,primitive_scaled_space_time_rel_l2,2026-07-21 00:37:38,
Ours,42,0.0034099481662626,0.0088421142489923,0.0129609665064381,0.0043220994039895,0.009865570541641,0.0151675678939557,0.11385378241539,1.0058739185333252,0.0091997164697234,0.0389618259729006,0.0897626775660627,0.0124829251027897,0.0453074418686716,0.0738038773571908,-0.0242720246315002,0.9425555467605592,0.0032189206292487,0.0084474844370778,0.0126573480660156,0.0036041856477713,0.0089860769518056,0.0144665187512104,0.0997810810804367,1.0030254125595093,0.034354859957325,0.0390540454214554,0.0,0.0,0.9725294709205629,0.0975294709205627,1.9336167573928835,0.0787115172949834,0.9336493611335754,0.0336493611335754,0.0004426880448246,0.0013191179862236,0.8711705011993801,0.00052055687403,0.0008842149703806,0.0049569321804905,0.0023737879139176,0.0015586253908706,0.9999999995246072,0.0003754118619629,0.0002789807176825,0.0028250014985734,0.0013813504806534,0.0003903020267134,0.0002268476843704,0.0015907557736662,0.0393446403228912,0.0008037782235327,0.0005130949334663,0.0033886313009421,0.0012156961223525,1.0,0.0182574185835055,0.7,0.0719060376286506,0.9991440773010254,0.0657479184610967,0.0932539682539682,0.4959954023361206,2.0,1.0000001192092896,15.029420852661133,0.0853908583521843,4000,6000,10000,2026-07-01 01:50:58,1d_euler,AdamW,False,202.79025197029117,421.8476564884186,624.6379084587097,83331,analytical_sod_riemann_solution,True,Analytical Sod Riemann solution,pointwise_analytic,700,301,0.2,primitive_scaled_space_time_rel_l2,2026-07-21 00:37:38,
PINN,100,0.008613255406077,0.0191571382551782,0.0280809566911969,0.0127027755040754,0.0228338982626949,0.035105390075645,0.0950439050793647,1.0634961128234863,0.0389508685829576,0.1175391855439519,0.2707940849768619,0.0444927844972355,0.1357246328550676,0.2210895990689676,-0.0661587417125701,0.977009415626526,0.0090764886935751,0.0216808371929882,0.0324856357840413,0.0115089503399807,0.0264713059521866,0.0426156648758037,0.0991822183132171,1.009479284286499,0.1011942791243549,0.1154918299660194,0.0,0.0,1.0843230485916138,0.2093230485916137,1.9848973751068115,0.1299921350089117,0.9515833854675292,0.0515833854675292,0.0007060393095776,0.0007991601116199,0.999999998328534,0.0030388436787249,0.0039285375713794,0.0235234883714261,0.0020500789112916,0.0032989813721813,0.6356181054887525,0.0002926688535156,0.00020371908018,0.0010057130440345,0.0013847997486808,0.00069550933451,0.0003757795828546,0.0029632196294603,0.015061572540474,0.0012772120667439,0.0008346979975341,0.0046788609087496,0.0024777308948616,1.0,0.0182574185835055,0.7,0.0657062456011772,0.9999685287475586,0.0630511463844797,0.0923003568352405,0.5019383430480957,2.0,1.0,15.236945152282717,0.0896292626857757,4000,6000,10000,2026-07-01 01:59:02,1d_euler,AdamW,False,201.7632942199707,281.1531181335449,482.9164123535156,83331,analytical_sod_riemann_solution,True,Analytical Sod Riemann solution,pointwise_analytic,700,301,0.2,primitive_scaled_space_time_rel_l2,2026-07-21 00:37:38,
Ours,100,0.0035332896120099,0.0084151380003302,0.0123350952835476,0.0045596274062789,0.009733346750789,0.0149642838247293,0.1192149892449379,1.0170313119888306,0.0094467401176104,0.0395260361511535,0.0910625400608344,0.0133281065099793,0.043409006105159,0.0707114070149693,-0.0112234950065612,0.9427728652954102,0.0030956574718247,0.0084951237915142,0.0127287288297486,0.003654762461577,0.0086782717306213,0.0139709888299927,0.0995776802301406,1.0016491413116455,0.0347021242206407,0.0374991293972148,0.0,0.0,0.9801678657531738,0.1051678657531738,1.9311909675598145,0.0762857274619146,0.9417099356651306,0.0417099356651305,0.0006117562447056,0.0013692448625148,0.9998342509982204,0.0002428739643781,6.93970978012104e-05,0.0046217458138525,0.0017993646604353,0.0009678422131733,0.8478507326194099,0.0004356635420925,0.0004185901191966,0.0016650007020045,0.0019660908095805,0.0004663606311217,0.0003647808152498,0.0012753553036597,0.011624225045723,0.0010601945414082,0.0008066478210173,0.0071831437989171,0.0020281405783327,1.0,0.0182574185835055,0.7,0.0713439881801605,0.999583899974823,0.065342889955293,0.091454411221853,0.4873378872871399,2.0,0.9999999403953552,14.968022346496582,0.0852549970149993,4000,6000,10000,2026-07-01 02:06:07,1d_euler,AdamW,False,201.7632942199707,423.88474583625793,625.6480400562286,83331,analytical_sod_riemann_solution,True,Analytical Sod Riemann solution,pointwise_analytic,700,301,0.2,primitive_scaled_space_time_rel_l2,2026-07-21 00:37:38,
PINN,31415,0.0084940621088291,0.0192745340551474,0.0282530380496311,0.0126825071448998,0.0232006761009062,0.0356692832371794,0.0944020003080368,1.059254169464111,0.0392193257908208,0.1193425101947303,0.2749486964493155,0.0446818510796531,0.1381717045814186,0.2250757738368865,-0.0617042034864425,0.9720165133476256,0.0090162361736488,0.0217469849732715,0.0325847487785757,0.0114306823190737,0.0266743437455083,0.0429425316564964,0.0993842259049415,1.010177493095398,0.1026606939185735,0.1175078589331963,0.0,0.0,1.0811117887496948,0.2061117887496948,1.9858958721160889,0.130990632018189,0.9468986988067628,0.0468986988067626,0.0007888537237137,0.0008196264637072,0.999999998397656,0.0034074425700643,0.0043928726039066,0.025832263586028,0.0022568502445269,0.0036915210598896,0.8616017020168572,0.000285843884392,0.0002279678992596,0.0009569301247128,0.0020038460130391,0.0008079547112159,0.0004759714069866,0.0033303273671246,0.0290324898748476,0.0012342119102309,0.0008018139435718,0.0052967979742758,0.0031809306052325,1.0,0.0182574185835055,0.7,0.065755121409893,0.9999781847000122,0.0627537836840162,0.0916902506049792,0.4981921017169952,2.0,1.0000001192092896,15.242491722106934,0.0894039869308471,4000,6000,10000,2026-07-01 02:14:15,1d_euler,AdamW,False,184.1465482711792,302.3929135799408,486.53946185112,83331,analytical_sod_riemann_solution,True,Analytical Sod Riemann solution,pointwise_analytic,700,301,0.2,primitive_scaled_space_time_rel_l2,2026-07-21 00:37:38,
Ours,31415,0.0034298993064048,0.0089040527060549,0.0130517572658472,0.0045433766879205,0.0098078277520908,0.0150787927260936,0.116185687482357,1.009304404258728,0.0092005795619694,0.0401791717557037,0.0925672744826486,0.0112109992483962,0.035768981082076,0.0582661343058214,-0.0167894884943962,0.9407358765602112,0.0029916202674026,0.0085486098436743,0.012808870034377,0.0031065333144358,0.0080543167730927,0.0129664953072454,0.0994679480791091,1.001742243766785,0.0353380637484621,0.0315763412145583,0.0,0.0,1.00364089012146,0.1286408901214599,1.9336795806884768,0.0787743405905767,0.9360815286636353,0.0360815286636352,0.000657619782992,0.0016721507577444,0.999999995874182,0.0005201052812499,0.0007634071618972,0.0058621343006804,0.0010908614991632,0.0001217185847008,0.6178953143026223,0.0005086767887303,0.0003349115547809,0.0018443882912467,0.0019335505106974,0.0005121135416735,0.0002691069263895,0.0021063746096278,0.0171359585100181,0.0010564999550848,0.0006568760220488,0.0034168036380948,0.0019465490943783,1.0,0.0182574185835055,0.7,0.0714282467961311,0.9997907280921936,0.0648301956441491,0.0917261392067593,0.4934403598308563,2.0,1.0000001192092896,15.087468147277832,0.0856431946158409,4000,6000,10000,2026-07-01 02:21:13,1d_euler,AdamW,False,184.1465482711792,418.0903890132904,602.2369372844696,83331,analytical_sod_riemann_solution,True,Analytical Sod Riemann solution,pointwise_analytic,700,301,0.2,primitive_scaled_space_time_rel_l2,2026-07-21 00:37:38,
