model,seed,h_space_time_l1,h_space_time_l2,h_space_time_rel_l2,h_final_l1,h_final_l2,h_final_rel_l2,q_space_time_l1,q_space_time_l2,q_space_time_rel_l2,q_final_l1,q_final_l2,q_final_rel_l2,h_min,h_max,q_min,q_max,h_positivity_violation,h_slice_l1_t,h_slice_l2_t,h_slice_rel_l2_t,h_tv_t,h_tv_ref_t,h_tv_excess_t,q_slice_l1_t,q_slice_l2_t,q_slice_rel_l2_t,q_tv_t,q_tv_ref_t,q_tv_excess_t,global_mass_cons_mean_abs,global_mass_cons_final_abs,global_mass_cons_mean_rel,global_mom_cons_mean_abs,global_mom_cons_final_abs,global_mom_cons_mean_rel,local_mass_cons_cv_mean_abs,local_mass_cons_cv_median_abs,local_mass_cons_cv_mean_rel,local_mom_cons_cv_mean_abs,local_mom_cons_cv_median_abs,local_mom_cons_cv_mean_rel,gate_progress,gate_h,gate_cmin,gate_mean,gate_max,gate_active_frac_gt_0p5,gate_active_frac_gt_0p1,gate_C_mean,gate_C_max,gate_Jhat_mean,gate_Jhat_max,gate_Jbar,method,warmup_iters,continuation_iters,adam_total_iters,timestamp,equation,optimizer_main,lbfgs_used,wall_clock_sec_warmup,wall_clock_sec_continuation,wall_clock_sec_total,num_parameters,reference_type,reference_is_exact,reference_eval_nx,reference_eval_nt,reference_t_final,reference_name,reference_evaluation_mode,reference_updated_at,state_scaled_space_time_l2,state_scaled_space_time_rel_l2,state_scaled_final_l2,state_scaled_final_rel_l2,state_scale_h,state_scale_q,state_reference_norm_space_time,state_reference_norm_final,state_scaled_reference_type,state_scaled_metric_formula,primary_metric,state_scaled_metric_updated_at
PINN,2026,0.0052751840663763,0.0205110653073014,0.0130766916814495,0.0042533792534122,0.0205175495996241,0.0131896487896322,0.0066468387157932,0.0260940902160101,0.111899823951818,0.0051024281033144,0.0253597884852351,0.0769785042707101,0.9979587197303772,2.003220796585083,-0.1311682164669037,0.6279308795928955,0.0,0.0041099608951724,0.0188161048538879,0.0120943552536785,1.0891602039337158,1.0,0.0891602039337158,0.0049480918094604,0.0233274437225815,0.0706833364290298,1.2969937324523926,1.2122725243735315,0.0847212080788608,0.0010390629144517,0.0020144107161293,0.99515426699887,0.0010600797562985,0.0012416836047293,0.0037658159635076,0.0006085433114713,0.0003566202833434,0.0002798485502437,0.0008203761577411,0.0003359749687999,0.0439338040857859,1.0,0.0182574185835055,0.8,0.0088521474972367,0.9912279844284058,0.0063301282051282,0.0189903846153846,0.6135826110839844,2.0,0.9999999403953552,36.162109375,0.0128627624362707,PINN,3000,7000,10000,2026-07-01 00:57:59,1d_shallowwater,AdamW,False,121.21545362472534,257.4801092147827,378.69556283950806,83202,exact_stoker_entropy_solution,True,500,260,0.25,Stoker wet-bed dam-break entropy solution,pointwise_analytic,2026-07-13 06:53:30,0.01379451496194251,0.01749280653214611,0.01362469520375565,0.017324022610841417,2.0,2.8284271247461903,0.788582148700677,0.786462561830874,exact_stoker_entropy_solution,sqrt(mean((dh/h_scale)^2+(dq/q_scale)^2))/sqrt(mean((h_ref/h_scale)^2+(q_ref/q_scale)^2)),state_scaled_space_time_rel_l2,2026-07-20 06:45:46
Ours,2026,0.0019128358272349,0.0105387286194298,0.0067188955232713,0.0021358487731902,0.0114876827706233,0.0073848244116834,0.0029051867726604,0.0140420487126448,0.0602168064056025,0.0031907748488819,0.0148403310112514,0.0450471613670393,0.9997852444648744,2.001514196395874,-0.0512293204665184,0.609635055065155,0.0,0.0020859375072814,0.010511902653311,0.0067566951857711,1.0467370748519895,1.0,0.0467370748519897,0.0031544534067363,0.0141740783815164,0.0429481756649712,1.2496577501296997,1.2122725243735315,0.0373852257561679,0.0004194569026756,0.0007633711569705,0.861195803344587,0.0006599705869613,0.0010705827704414,0.0055166151679936,0.0006070528292312,0.0001827710132242,0.0002470718378727,0.0009472509071442,0.0002751683201705,0.0596150710634164,1.0,0.0182574185835055,0.8,0.0173453148454427,0.9814204573631288,0.0175400641025641,0.021113782051282,0.6722674369812012,2.0,1.0000001192092896,39.57991409301758,0.0124828061088919,Ours,3000,7000,10000,2026-07-01 01:03:48,1d_shallowwater,AdamW,False,121.21545362472534,348.9016537666321,470.1171073913574,83202,exact_stoker_entropy_solution,True,500,260,0.25,Stoker wet-bed dam-break entropy solution,pointwise_analytic,2026-07-13 06:53:30,0.007239723180794531,0.009180683575850689,0.007779533528757223,0.009891804017519518,2.0,2.8284271247461903,0.788582148700677,0.786462561830874,exact_stoker_entropy_solution,sqrt(mean((dh/h_scale)^2+(dq/q_scale)^2))/sqrt(mean((h_ref/h_scale)^2+(q_ref/q_scale)^2)),state_scaled_space_time_rel_l2,2026-07-20 06:45:46
PINN,7,0.0052777150705721,0.0209040576431568,0.0133272413009919,0.0044883027667101,0.0212815731552257,0.013680799173671,0.0069984730798918,0.0264973491342824,0.1136291274679827,0.006161513508378,0.0265680141032532,0.0806460191220561,0.995455265045166,2.010293245315552,-0.120450772345066,0.6325715184211731,0.0,0.0043221169515923,0.019420562414468,0.0124828801120483,1.1034893989562988,1.0,0.1034893989562988,0.0059722918492169,0.0242480755065644,0.0734728973808595,1.324026107788086,1.2122725243735315,0.1117535834145542,0.0007271039296718,0.0013320105192701,0.9112485141772128,0.0037647717032799,0.0059816788731198,0.011569076134713,0.0004618610234175,0.0002305640777517,0.0001894968427486,0.0013549274536137,0.0009008931510976,0.0761450468454097,1.0,0.0182574185835055,0.8,0.0088063143193721,0.986254096031189,0.0064983974358974,0.0188701923076923,0.6103836297988892,2.0,0.9999999403953552,35.90314102172852,0.0129632083699107,PINN,3000,7000,10000,2026-07-01 01:27:34,1d_shallowwater,AdamW,False,123.13030338287354,281.7318274974823,404.86213088035583,83202,exact_stoker_entropy_solution,True,500,260,0.25,Stoker wet-bed dam-break entropy solution,pointwise_analytic,2026-07-13 06:53:30,0.0140359750420166,0.017799001746521215,0.01419361689859702,0.018047415843338337,2.0,2.8284271247461903,0.788582148700677,0.786462561830874,exact_stoker_entropy_solution,sqrt(mean((dh/h_scale)^2+(dq/q_scale)^2))/sqrt(mean((h_ref/h_scale)^2+(q_ref/q_scale)^2)),state_scaled_space_time_rel_l2,2026-07-20 06:45:46
Ours,7,0.0022149813871837,0.010744380951537,0.0068500077839094,0.0020837018763024,0.010624961280158,0.0068302263390796,0.0032398617836052,0.014254128792672,0.0611262737762708,0.0033842498030637,0.0138229058637514,0.0419588128144652,1.0000418424606323,2.002464532852173,-0.0462587252259254,0.612342894077301,0.0,0.0020624324063556,0.010161073498375,0.0065311940809414,1.0556248426437378,1.0,0.0556248426437377,0.0033879528461655,0.0139462004638095,0.0422576940282528,1.2767150402069092,1.2122725243735315,0.0644425158333774,0.000333689963368,0.0003410738713376,0.5821077631287145,0.0008102001853961,0.0010273857307454,0.0043960517769769,0.0007341214962062,0.0002391708151498,0.0002436789049038,0.0011456692995822,0.0006662319035288,0.0363701186324715,1.0,0.0182574185835055,0.8,0.0170029606670141,0.9841763973236084,0.0173717948717948,0.0209455128205128,0.6609317660331726,2.0,1.0,39.416534423828125,0.012539536692202,Ours,3000,7000,10000,2026-07-01 01:34:11,1d_shallowwater,AdamW,False,123.13030338287354,396.1931326389313,519.3234360218048,83202,exact_stoker_entropy_solution,True,500,260,0.25,Stoker wet-bed dam-break entropy solution,pointwise_analytic,2026-07-13 06:53:30,0.0073659998617091145,0.00934081487114121,0.007218486085460115,0.009178423024544741,2.0,2.8284271247461903,0.788582148700677,0.786462561830874,exact_stoker_entropy_solution,sqrt(mean((dh/h_scale)^2+(dq/q_scale)^2))/sqrt(mean((h_ref/h_scale)^2+(q_ref/q_scale)^2)),state_scaled_space_time_rel_l2,2026-07-20 06:45:46
PINN,42,0.0052348322937172,0.0208472685043233,0.0132910357676247,0.0043598456920464,0.0208254886815468,0.013387606558392,0.0067237246392467,0.0261834289473363,0.1122829370714833,0.0049207007997377,0.0251366007821536,0.0763010279753211,0.9980852603912354,2.011587619781494,-0.1347708106040954,0.6333525776863098,0.0,0.00420366146495,0.0189975486298778,0.0122109811708081,1.109091877937317,1.0,0.1090918779373169,0.0047559256872109,0.0229418409377422,0.0695149404533326,1.3276371955871582,1.2122725243735315,0.1153646712136264,0.000222245612444,8.949908220844496e-05,0.3403906519194075,0.0010250422648703,0.0013170417058929,0.0040710409537527,0.0005119325029562,0.0003454415705829,0.0002768427006618,0.0008585263741991,0.0005822388080417,0.02048581172735,1.0,0.0182574185835055,0.8,0.0089342948049306,0.9943354725837708,0.0063621794871794,0.0186618589743589,0.6556991338729858,2.0,1.0,35.921630859375,0.0129569191485643,PINN,3000,7000,10000,2026-07-01 01:40:27,1d_shallowwater,AdamW,False,95.69549083709715,279.39290142059326,375.0883922576904,83202,exact_stoker_entropy_solution,True,500,260,0.25,Stoker wet-bed dam-break entropy solution,pointwise_analytic,2026-07-13 06:53:30,0.013940898283570714,0.017678435032447835,0.013689643241022741,0.017406605101628784,2.0,2.8284271247461903,0.788582148700677,0.786462561830874,exact_stoker_entropy_solution,sqrt(mean((dh/h_scale)^2+(dq/q_scale)^2))/sqrt(mean((h_ref/h_scale)^2+(q_ref/q_scale)^2)),state_scaled_space_time_rel_l2,2026-07-20 06:45:46
Ours,42,0.0023018424075197,0.011137472610294,0.0071006207260995,0.0022266191948888,0.010708377510309,0.0068838502269471,0.0032101701775192,0.0154761298006269,0.0663666058410076,0.0035052757568478,0.0151982407743296,0.0461335804529747,0.9993358850479126,2.004206418991089,-0.0399662107229232,0.610558032989502,0.0,0.0023651621798713,0.0132805982082643,0.0085363189650236,1.046367883682251,1.0,0.0463678836822509,0.0037194993440189,0.0189634330960105,0.0574601631158227,1.2714084386825562,1.2122725243735315,0.0591359143090244,0.0006510374351353,0.0010446334165588,0.9996454118347938,0.00090174724174,0.0013229429989091,0.0052581187478013,0.0006923437236938,0.0003041159967992,0.0002701516979653,0.0009251745898316,0.0005961490665096,0.0368206492345267,1.0,0.0182574185835055,0.8,0.0172444488853216,0.9842820763587952,0.0177083333333333,0.0208814102564102,0.6751969456672668,2.0,0.9999999403953552,39.49031066894531,0.0125310597941279,Ours,3000,7000,10000,2026-07-01 01:47:02,1d_shallowwater,AdamW,False,95.69549083709715,394.2067592144013,489.9022500514984,83202,exact_stoker_entropy_solution,True,500,260,0.25,Stoker wet-bed dam-break entropy solution,pointwise_analytic,2026-07-13 06:53:30,0.007807025569126459,0.009900078998719359,0.007585555520536065,0.009645157810013677,2.0,2.8284271247461903,0.788582148700677,0.786462561830874,exact_stoker_entropy_solution,sqrt(mean((dh/h_scale)^2+(dq/q_scale)^2))/sqrt(mean((h_ref/h_scale)^2+(q_ref/q_scale)^2)),state_scaled_space_time_rel_l2,2026-07-20 06:45:46
PINN,100,0.0056321051280779,0.0207929516815952,0.013256406442756,0.0045821434403938,0.0215857319894682,0.0138763268208904,0.0064434622126752,0.0262434069457219,0.1125401419559903,0.0051473637840399,0.0266971097029211,0.0810378830437979,0.9966257810592652,2.0109543800354004,-0.1290001571178436,0.6309531927108765,0.0,0.0044306040302074,0.0198831833185538,0.0127802371689546,1.0915322303771973,1.0,0.0915322303771972,0.0049721156713916,0.0246052257086263,0.0745550805891121,1.304723024368286,1.2122725243735315,0.0924504999947544,0.000476186709479,0.0007800354040886,0.669901772487763,0.0015360891160196,0.0018078809148817,0.0053088474414608,0.0005350299011222,0.0003149332567216,0.0002662181047625,0.0011519375612711,0.0007143010111488,0.0420481615218449,1.0,0.0182574185835055,0.8,0.0091319791972637,0.9919488430023192,0.0065224358974358,0.0193028846153846,0.6216391921043396,2.0,1.0000001192092896,36.18814849853516,0.0128608541563153,PINN,3000,7000,10000,2026-07-01 01:53:14,1d_shallowwater,AdamW,False,110.753675699234,261.34100675582886,372.09468245506287,83202,exact_stoker_entropy_solution,True,500,260,0.25,Stoker wet-bed dam-break entropy solution,pointwise_analytic,2026-07-13 06:53:30,0.013934714239019565,0.017670593053573054,0.014337988516228967,0.018230986714525985,2.0,2.8284271247461903,0.788582148700677,0.786462561830874,exact_stoker_entropy_solution,sqrt(mean((dh/h_scale)^2+(dq/q_scale)^2))/sqrt(mean((h_ref/h_scale)^2+(q_ref/q_scale)^2)),state_scaled_space_time_rel_l2,2026-07-20 06:45:46
Ours,100,0.0021915482932255,0.0111840063129253,0.0071302879751179,0.0024594779123588,0.009887133874618,0.006355916076093,0.0028649608889621,0.0155414435896241,0.0666466923061769,0.0030208839976286,0.0132844496235553,0.040324352968333,0.9988977909088136,2.003349542617798,-0.043443888425827,0.6104046106338501,0.0,0.0025319150266115,0.0112821545339528,0.0072517870207516,1.052991271018982,1.0,0.0529912710189819,0.003145793690871,0.0157326214605642,0.047670640162392,1.265628457069397,1.2122725243735315,0.0533559326958652,0.00039594525462,0.0004658844351489,0.9642019994472932,0.0016143227945647,0.0018198857102421,0.0089027989002551,0.0006836003398443,0.0003347079500092,0.0002695138748658,0.0008842726235953,0.0004831777504029,0.1088648069478142,1.0,0.0182574185835055,0.8,0.0170245897024869,0.9801812767982484,0.0172275641025641,0.0209375,0.657812774181366,2.0,1.0000001192092896,39.32320022583008,0.0125655634328722,Ours,3000,7000,10000,2026-07-01 01:57:59,1d_shallowwater,AdamW,False,110.753675699234,284.07401752471924,394.8276932239533,83202,exact_stoker_entropy_solution,True,500,260,0.25,Stoker wet-bed dam-break entropy solution,pointwise_analytic,2026-07-13 06:53:30,0.007839805986634625,0.009941647803646196,0.006818975677383821,0.008670439011744779,2.0,2.8284271247461903,0.788582148700677,0.786462561830874,exact_stoker_entropy_solution,sqrt(mean((dh/h_scale)^2+(dq/q_scale)^2))/sqrt(mean((h_ref/h_scale)^2+(q_ref/q_scale)^2)),state_scaled_space_time_rel_l2,2026-07-20 06:45:46
PINN,31415,0.0050852341104098,0.0200164759768818,0.0127613695816008,0.0041773700909307,0.0192293768173612,0.0123615505561705,0.0061030459936939,0.0253880867457806,0.1088722547446117,0.0046790000943837,0.0237099824907269,0.0719705919268026,0.9977631568908693,2.0065691471099854,-0.1394511461257934,0.6343632340431213,0.0,0.0040418017808772,0.0174951123704187,0.0112452660023921,1.091541051864624,1.0,0.091541051864624,0.0045367507609835,0.0217351364459827,0.0658585647022729,1.309171438217163,1.2122725243735315,0.0968989138436313,0.0017770623280459,0.0029804359074386,0.9999999983392972,0.0018165054640593,0.0027249274620554,0.0060235408813333,0.0006122660043492,0.0003257031970959,0.0002803106026679,0.0007712476868177,0.0004772343451383,0.1400914689803013,1.0,0.0182574185835055,0.8,0.0090639032423496,0.9925743341445924,0.0064182692307692,0.0190945512820512,0.6379150152206421,2.0,1.0,36.040313720703125,0.0129020018503069,PINN,3000,7000,10000,2026-07-01 02:04:28,1d_shallowwater,AdamW,False,112.43787384033205,275.5992739200592,388.0371477603912,83202,exact_stoker_entropy_solution,True,500,260,0.25,Stoker wet-bed dam-break entropy solution,pointwise_analytic,2026-07-13 06:53:30,0.013443741897614735,0.017047991664214737,0.01275588655914749,0.016219318220864504,2.0,2.8284271247461903,0.788582148700677,0.786462561830874,exact_stoker_entropy_solution,sqrt(mean((dh/h_scale)^2+(dq/q_scale)^2))/sqrt(mean((h_ref/h_scale)^2+(q_ref/q_scale)^2)),state_scaled_space_time_rel_l2,2026-07-20 06:45:46
Ours,31415,0.002034951463533,0.0105488303051291,0.0067253357850214,0.0020485866870052,0.0095551705898549,0.0061425144164154,0.0030078400455508,0.0145322648915812,0.0623190105317943,0.0032743090537964,0.0130673044265407,0.0396652184299877,0.9999933242797852,2.000842809677124,-0.0451881289482116,0.6115341782569885,0.0,0.0021438744808701,0.0114179615117422,0.007339079148855,1.0431345701217651,1.0,0.0431345701217651,0.0034265819133995,0.0160480509123917,0.048626407383537,1.2605352401733398,1.2122725243735315,0.0482627157998081,0.0001690774059664,0.0001700523726475,0.8078613762180926,0.0003076968950791,0.0002379581241007,0.0037194191488388,0.0004822121935164,0.0001880739708929,0.0001858947424705,0.000659461637294,0.0004133346400461,0.0737987667049684,1.0,0.0182574185835055,0.8,0.0173341408371925,0.9834829568862916,0.0175080128205128,0.0209455128205128,0.6781793832778931,2.0,1.0,39.61490249633789,0.0124792559072375,Ours,3000,7000,10000,2026-07-01 02:10:57,1d_shallowwater,AdamW,False,112.43787384033205,388.3683247566223,500.8061985969544,83202,exact_stoker_entropy_solution,True,500,260,0.25,Stoker wet-bed dam-break entropy solution,pointwise_analytic,2026-07-13 06:53:30,0.0073632734270491825,0.00933735748288506,0.0066460233878834415,0.008450527349201646,2.0,2.8284271247461903,0.788582148700677,0.786462561830874,exact_stoker_entropy_solution,sqrt(mean((dh/h_scale)^2+(dq/q_scale)^2))/sqrt(mean((h_ref/h_scale)^2+(q_ref/q_scale)^2)),state_scaled_space_time_rel_l2,2026-07-20 06:45:46
