equation,artifact_method,public_method,primary_metric,mean,sample_std,rank_among_10,canonical_row_count,finite_seed_count
1d_burgers,AAF-PINN,AAF-PINN,space_time_rel_l2,0.11299868511760791,0.00085816774035747147,2,5,5
1d_burgers,cPINN,cPINN,space_time_rel_l2,0.1204096555539397,0.0035094973598258604,4,5,5
1d_burgers,gPINN-subsampled,gPINN-sub.,space_time_rel_l2,0.12625663149723199,0.00092567701826722006,5,5,5
1d_burgers,RAR-D-PINN,RAR-D-PINN,space_time_rel_l2,0.12913817357804261,0.0024361722603022866,6,5,5
1d_burgers,RAD-PINN,RAD-PINN,space_time_rel_l2,0.1318226541980291,0.0085938048057329266,7,5,5
1d_burgers,SA-PINN,SA-PINN,space_time_rel_l2,0.13561274748590044,0.046020802235179521,8,5,5
1d_burgers,XPINN,XPINN,space_time_rel_l2,0.15940696069766663,0.015760835128823054,9,5,5
1d_burgers,LRA-PINN,LRA-PINN,space_time_rel_l2,0.40663893031573622,0.014803130606757314,10,5,5
1d_euler,XPINN,XPINN,primitive_scaled_space_time_rel_l2,0.075478155048880669,0.0016569701251788989,2,5,5
1d_euler,SA-PINN,SA-PINN,primitive_scaled_space_time_rel_l2,0.083482486437813669,0.0104242362824847,3,5,5
1d_euler,cPINN,cPINN,primitive_scaled_space_time_rel_l2,0.095409349904561236,0.0010321814861906798,4,5,5
1d_euler,AAF-PINN,AAF-PINN,primitive_scaled_space_time_rel_l2,0.10302801294491055,0.0024587408906749206,6,5,5
1d_euler,gPINN-subsampled,gPINN-sub.,primitive_scaled_space_time_rel_l2,0.13191330515372118,0.0018253920840212868,7,5,5
1d_euler,RAD-PINN,RAD-PINN,primitive_scaled_space_time_rel_l2,0.14807822219199143,0.0055377491583047502,8,5,5
1d_euler,RAR-D-PINN,RAR-D-PINN,primitive_scaled_space_time_rel_l2,0.15713334294683001,0.0099384263770937523,9,5,5
1d_euler,LRA-PINN,LRA-PINN,primitive_scaled_space_time_rel_l2,0.33738608343513599,0.0044717376549297978,10,5,5
1d_shallowwater,cPINN,cPINN,state_scaled_space_time_rel_l2,0.016713012043340504,0.00030951155362613772,2,5,5
1d_shallowwater,AAF-PINN,AAF-PINN,state_scaled_space_time_rel_l2,0.017336319436572521,0.00034278043971701686,3,5,5
1d_shallowwater,RAD-PINN,RAD-PINN,state_scaled_space_time_rel_l2,0.021483131182912341,0.0048712932017974924,5,5,5
1d_shallowwater,gPINN-subsampled,gPINN-sub.,state_scaled_space_time_rel_l2,0.023260763643002461,0.0001651341037411542,6,5,5
1d_shallowwater,RAR-D-PINN,RAR-D-PINN,state_scaled_space_time_rel_l2,0.024922758639136979,0.001009753652806297,7,5,5
1d_shallowwater,SA-PINN,SA-PINN,state_scaled_space_time_rel_l2,0.025491691689530322,0.0051759429338697595,8,5,5
1d_shallowwater,XPINN,XPINN,state_scaled_space_time_rel_l2,0.026448414039318219,0.00087397537130575495,9,5,5
1d_shallowwater,LRA-PINN,LRA-PINN,state_scaled_space_time_rel_l2,0.046377702424101594,0.02290852897851757,10,5,5
2d_burgers,LRA-PINN,LRA-PINN,space_time_rel_l2,0.016579665486451341,0.0011536325797909253,1,5,5
2d_burgers,SA-PINN,SA-PINN,space_time_rel_l2,0.094587772571628245,0.0071322057258291849,3,5,5
2d_burgers,AAF-PINN,AAF-PINN,space_time_rel_l2,0.11338432160866566,0.0011722381625237795,4,5,5
2d_burgers,cPINN,cPINN,space_time_rel_l2,0.11624636751440727,0.0010136248549027884,6,5,5
2d_burgers,XPINN,XPINN,space_time_rel_l2,0.11657367875805418,0.0013957344059010819,7,5,5
2d_burgers,RAD-PINN,RAD-PINN,space_time_rel_l2,0.12983870457064114,0.0031367021073708339,8,5,5
2d_burgers,gPINN-subsampled,gPINN-sub.,space_time_rel_l2,0.13158781061179384,0.001545899698402124,9,5,5
2d_burgers,RAR-D-PINN,RAR-D-PINN,space_time_rel_l2,0.13278219376368297,0.0024394895019898498,10,5,5
2d_euler,LRA-PINN,LRA-PINN,primitive_scaled_space_time_rel_l2,0.020459230232721861,0.0019428688689622333,1,5,5
2d_euler,SA-PINN,SA-PINN,primitive_scaled_space_time_rel_l2,0.052059146792834653,0.004404020500932573,3,5,5
2d_euler,XPINN,XPINN,primitive_scaled_space_time_rel_l2,0.055008968183417606,0.0051098828627096351,4,5,5
2d_euler,AAF-PINN,AAF-PINN,primitive_scaled_space_time_rel_l2,0.059048281987150467,0.00065278949442926855,5,5,5
2d_euler,cPINN,cPINN,primitive_scaled_space_time_rel_l2,0.061405401453358779,0.00060163474733563455,7,5,5
2d_euler,RAD-PINN,RAD-PINN,primitive_scaled_space_time_rel_l2,0.065390985337966584,0.028923160782433118,8,5,5
2d_euler,gPINN-subsampled,gPINN-sub.,primitive_scaled_space_time_rel_l2,0.082558866706012826,0.0012928223471547655,9,5,5
2d_euler,RAR-D-PINN,RAR-D-PINN,primitive_scaled_space_time_rel_l2,0.10078592256107462,0.019727611994132144,10,5,5
2d_shallowwater,cPINN,cPINN,state_scaled_space_time_rel_l2,0.032769165656058238,0.00045150185518026036,2,5,5
2d_shallowwater,AAF-PINN,AAF-PINN,state_scaled_space_time_rel_l2,0.033418942705934686,0.00027344752610248331,3,5,5
2d_shallowwater,SA-PINN,SA-PINN,state_scaled_space_time_rel_l2,0.034430069145271726,0.0027241527740857379,5,5,5
2d_shallowwater,gPINN-subsampled,gPINN-sub.,state_scaled_space_time_rel_l2,0.043350155845609174,0.00038801285997750655,6,5,5
2d_shallowwater,RAD-PINN,RAD-PINN,state_scaled_space_time_rel_l2,0.044685586601782679,0.0029235058981050667,7,5,5
2d_shallowwater,XPINN,XPINN,state_scaled_space_time_rel_l2,0.050819293583725847,0.0016481732725732719,8,5,5
2d_shallowwater,RAR-D-PINN,RAR-D-PINN,state_scaled_space_time_rel_l2,0.053918942125457135,0.00061643634560909998,9,5,5
2d_shallowwater,LRA-PINN,LRA-PINN,state_scaled_space_time_rel_l2,0.18699042726626394,0.0082261542369688034,10,5,5
